professorID;firstName;lastName;email;password
511185926;Merlina;McReath;mmcreath0@viu.ca;nM7,xqdc
523857327;Hersh;Thumim;hthumim1@viu.ca;mA1*1BxOr!Dto2/q
93314726;Aila;Dignan;adignan2@viu.ca;nQ2$(Ft`2y{D,Ts$
647249837;Araldo;Banane;abanane3@viu.ca;"aS0/{w\""k"
660673750;Dorelle;Harkes;dharkes4@viu.ca;oP5~b<mS
27280630;Abbye;Lammin;alammin5@viu.ca;qR0/y6v`?(p2
489078674;Kayle;Cussins;kcussins6@viu.ca;gN3}yW)#Z
558771562;Maegan;De Fraine;mdefraine7@viu.ca;yF7}Ru4=Lr0w
564074915;Elianore;Plumb;eplumb8@viu.ca;gV4'g~lEX)cyUh%
627876019;Abraham;Burbudge;aburbudge9@viu.ca;tS6!CMwq&w<wd
548022668;Fayth;McCullen;fmccullena@viu.ca;qS2{fh)9+rjf
656523908;Arlene;Davsley;adavsleyb@viu.ca;"eD8""_\KnPb_''dk"
738570867;Barbara-anne;Vedeneev;bvedeneevc@viu.ca;jO6>FM=)Wmd?@
2574070;Luz;Hundey;lhundeyd@viu.ca;zV2}1*ZwKj!
639742046;Tybie;Welldrake;twelldrakee@viu.ca;cX4*Ou1T9CU#gj
199367256;Dreddy;Huntley;dhuntleyf@viu.ca;fB1<y!o9w>2s0=ca
275569849;Hillyer;Fancett;hfancettg@viu.ca;qD1(QcPqjR
132925975;Calida;Rycroft;crycrofth@viu.ca;"qP7"">P(c1.S"
137475487;Judy;Pesterfield;jpesterfieldi@viu.ca;yG5`&*JZR`EFiP
224767829;Charleen;Toppes;ctoppesj@viu.ca;"jO8|V?""<,x"
770330573;Free;Cotgrove;fcotgrovek@viu.ca;iN6<OGR9
706881160;Sallyanne;Kittel;skittell@viu.ca;zU1))<bKH`5C\>Cs
975479509;Levon;Shyre;lshyrem@viu.ca;iW7>W|n|$
434034692;Ally;Gowrie;agowrien@viu.ca;aN2~88hz&*CYSN#
