studentID;firstName;lastName;email;password
316748556;Leonardo;Circuitt;lcircuitt0@viu.ca;oT4$NDkE
705988551;Renate;Brandom;rbrandom1@viu.ca;iU3`QuuZWMFoc@vF
69709450;Danyelle;Kindon;dkindon2@viu.ca;wV4*SoY~
409398219;Matteo;Oolahan;moolahan3@viu.ca;pK7!SDdDa4
830247389;Pearla;Frosch;pfrosch4@viu.ca;uZ9}Sa=kfyhe
93916452;Merridie;Murray;mmurray5@viu.ca;aX9$\Uym
792070011;Nyssa;Spilsburie;nspilsburie6@viu.ca;"bS0`jff6IhZIvf""B"
7196461;Guendolen;Grishin;ggrishin7@viu.ca;lW8,Ex|UBr0U=een
422434059;Errick;Blankau;eblankau8@viu.ca;gF0?,5<5}T
676895565;Coleen;Stiebler;cstiebler9@viu.ca;lB5!t$qG!'08\).
694965345;Tadeo;Braisher;tbraishera@viu.ca;gX7}vwwSe
747881670;Ambros;Cleeton;acleetonb@viu.ca;bC9~z>cF$y}=ro<Y
190326373;Erik;Buckhurst;ebuckhurstc@viu.ca;fM8%S\b\3vr2
599553825;Riobard;Fearney;rfearneyd@viu.ca;qB6=E)y=A~%\<%
522139800;Theresina;Lowsely;tlowselye@viu.ca;jH8(`L3%ZUi
21501301;Craggie;Whyman;cwhymanf@viu.ca;uG5_,UcWl
784850113;Carmine;Sondon;csondong@viu.ca;fY0,#&&cNj_F*\#
239446324;Aubrey;Leahey;aleaheyh@viu.ca;nD6!K6d/a
744551355;Aron;Pedlingham;apedlinghami@viu.ca;eG7!|$quh*Q1vvoF
9022483;Gabrila;Kynvin;gkynvinj@viu.ca;qN5)BCJ&'iJ)yNi
949827175;Abbie;Bampton;abamptonk@viu.ca;fV5{?a~HN
19180875;Perl;Beecroft;pbeecroftl@viu.ca;qV6/(l>l)A
870944566;Nilson;Ballintyne;nballintynem@viu.ca;eY1=c=V('QHT~
868840683;Case;Iori;ciorin@viu.ca;"tA9>fyb\|j""{/T="
